Settlement_Date,Tier_Level,COUNT(*),,
17-10-2023,Tier 3,7,,
18-10-2023,Tier 2,1,,
17-10-2023,Tier 2,1,,
25-10-2023,Tier 2,2,,
25-10-2023,Tier 3,6,,
23-10-2023,Tier 3,2,,
24-10-2023,Tier 3,4,,
24-10-2023,Tier 2,1,,
27-10-2023,Tier 3,4,,
26-10-2023,Tier 3,3,,
27-10-2023,Tier 2,1,,
4/10/2023,Tier 3,3,,
5/10/2023,Tier 3,4,,
2/10/2023,Tier 3,3,,
3/10/2023,Tier 3,2,,
9/10/2023,Tier 3,4,,
6/10/2023,Tier 3,2,,
11/10/2023,Tier 2,2,,
11/10/2023,Tier 3,2,,
12/10/2023,Tier 3,1,,
10/10/2023,Tier 3,2,,
10/10/2023,Tier 2,2,,
12/10/2023,Tier 2,1,,
13-10-2023,Tier 3,1,,
16-10-2023,Tier 3,1,,
,,,,
